Name,Type,Module,Value,Description
baseline_year,user,parameters,2011,Baseline year to be used in the simulations
beta,calib,parameters,0.25,Surplus housing elasticity in utility function
q0,calib,parameters,3.97,Basic need in housing (in m²) in utility function
alpha,calib,parameters,0.75,Composite good elasticity in utility function
coeff_b,calib,parameters,0.24,Capital elasticity in housing production function
coeff_a,calib,parameters,0.76,Land elasticity in housing production function
coeff_A,calib,parameters,0.03,Scale parameter in housing production function
lambda,calib,parameters,13.96,Gravity parameter in expected income (net of commuting costs) calculation
job_center_threshold,user,parameters,2500,Number of jobs above wich we retain a transport zone (TAZ) as an employment centre
depreciation_rate,user,parameters,0.025,Depreciation rate of housing capital
shack_size,user,parameters,14,Size (in m²) of an informal settlement dwelling unit
RDP_size,user,parameters,40,Size (in m²) of the dwelling part in a RDP housing unit
backyard_size,user,parameters,70,Size (in m²) of the backyard part in a RDP housing unit
future_rate_public_housing,user,parameters,1000,Number of formal subsidized housing units built per year in future simulations
informal_structure_value,user,parameters,3000,Cost of inputs (in rands) for building an informal dwelling unit
fraction_z_dwellings,user,parameters,0.27,"Fraction of the composite good that is kept inside the house and that can possibly be destroyed by floods (food, furniture, etc.)"
subsidized_structure_value,user,parameters,127000,Cost of inputs (in rands) for building a formal subsidized dwelling unit
max_land_use,user,parameters,0.7,Maximum share of a grid cell land area available for formal private housing that can actually be built 
max_land_use_backyard,user,parameters,0.45,Maximum share of a grid cell land area available for informal backyard housing that can actually be built 
max_land_use_settlement,user,parameters,0.4,Maximum share of a grid cell land area available for informal settlement housing that can actually be built 
historic_radius,user,parameters,6,Length (in km) of the radius defining the historic town from the city centre
limit_height_center,user,parameters,80,Maximum legal height (in m) for buildings in the historic town
limit_height_out,user,parameters,10,Maximum legal height (in m) for buildings out of the historic town
agricultural_rent_2011,user,parameters,807.2,Value (in rands) of the agricultural land price in 2011
agricultural_rent_2001,user,parameters,70.7,Value (in rands) of the agricultural land price in 2001
nb_of_income_classes,user,parameters,4,Number of income groups used in the model
income_distribution,user,parameters,/,List allocating each income group in the data (12) to one income group in the model (4)
household_size,user,parameters,/,List associating the average number of workers in a household (comprised of two individuals after taking unemployment into account) to each income group (from poorest to richest)
walking_speed,user,parameters,4,Speed (in km/h) at which representative households walk to work
time_cost,user,parameters,1,Multiplier associating the value of time lost in commuting to foregone revenues
time_invest_housing,user,parameters,3,Lag (in years) for formal private housing building in simulations
time_depreciation_buildings,user,parameters,100,Time (in years) for the full depreciation of a formal private housing unit
mini_lot_size,user,parameters,31.64,Minimum size (in m²) constraint for formal private housing units
precalculated_amenities,calib,data,/,Amenity index (real value centered around 1) in each grid cell
income_class_by_housing_type,user,data,/,Multidimensional array of dummies setting income group eligibility to each housing type
income_centers_init,calib,data,/,Value (in rands) of annual household income per income group and employment centre
informal_pockets,calib,parameters,/,Disamenity index (real value from 0 to 1) for informal backyards in each grid cell
backyard_pockets,calib,parameters,/,Disamenity index (real value from 0 to 1) for informal settlements in each grid cell
priceTrainPerKM,user,compute_income,0.164,Variable cost (in rands) for 1km of train commuting
priceTrainFixed,user,compute_income,4.48,Fixed cost (in rands) for a one-way train trip
priceBusPerKM,user,compute_income,0.785,Variable cost (in rands) for 1km of bus commuting
priceBusFixed,user,compute_income,4.32,Fixed cost (in rands) for a one-way bus trip
priceTaxiPerKM,user,compute_income,0.522,Variable cost (in rands) for 1km of minibus/taxi commuting
priceTaxiFixed,user,compute_income,6.24,Fixed cost (in rands) for a one-way minibus/taxi trip
priceFixedVehiculeMonth,user,compute_income,400,Fixed cost (in rands) for one month of private car commuting
